e (Vokal über Konsonant); عَلامَت ِ کَسرَه
- das erstaunt mich wirklich; از تَعجُب شاخ دَر مى آوَرَم، ـ شاخَم دَر میایَد، حِیرَتَم مى آَیَد از اینکه
erste;
- fürs erste; مُوَقَتاً، فِعلاً، عَلی اُلعَجاله
- das erste Mal; نَخُستین دَفعه، بار ِ اَوَل
- in erster Linie; دَر وَهلهٔ اَوَل
- jeder möchte als erster bedient werden; هَمه میخواهَند اَوَل اَز آنها پَذیرائى شَوَد
- die ersten Früchte; نوبَر ِ میوه
- er gehört zur ersten Garde der Professoren; او اَز اُستادهاى ِ طَراز ِ اَوَل بِشُمار مى رَوَد
- erster Wahlgang; دور ِ اَوَل ِ رأى گیرى
- als erstes der .. zuwenden; نَخُست به ... روى آوَردَن
- er ist der Erste von allen; او سَرآمَد ِ هَمِگان است
- die letzen werden die ersten sein; هَر چيز که خوار آيَد يِک روز به کار آيَد
erstehen;
- eine Sache billig erstehen; چیزى را اَرزان اَرزان گِرِفتَن
- eine Sache teuer erstehen; چیزى را بِزَحمَت گیر آوَردَن
- die Vergangenheit ersteht auf; به گُذَشته جان مى بَخشَد
ersteigern; چیزى را دَر حَراج بِدَست آوَردَن
erstellen;
- dieser Kurs wurde erstellt, um ...; این دوره تَهیه شُده که
erstens; اَوَلاً، نَخُستین
Erstfassung; پیش نِویس
Erstgeborener; نَخُست زاده
Erstgeburtsrecht; حَق ِ اَوَلین فَرزَند
ersticken; خَفه کَردَن
- etwas im Keime ersticken; چیزى را دَر نُطفه خَفه کَردَن
- erstickender Qualm; دود ِ مُخَنِق، ـ دَم گیر
- tränenerstickte Stimme; گَلو بِگِرِفته
Erstickung; اِختِناق، خَفِگى
erstklassig; دَرَجهٔ اَوَل، رَقَم ِ یِک، رَقَم اَعلى
erstmalig; نَخُستین بار
erstreben;
- eine Sache erstreben; چیزى را طَلَب کَردَن، کوشِش ک.، نِیل به چیزى هِمَت ک.، بَراى ِ چیزى حِرس زَدَن
erstrebenswert; خواستَنى، مَطلوب
erstrecken;
- s. erstrecken auf; شامِل ِ چیزى بودَن، اِمتِداد یافتَن، تَعَلُق داشتَن، بَر .. تَعَلُق گِرِفتَن
- der Weg erstreckt s. nach ...; راه اِمتِداد پِیدا می کُنَد، راه میکِشَد به
- das Urteil erstreckt s. auf ...; حُکم شامِل ِ ... می شَوَد، ـ بَر .. تَعَلُق میگیرَد
Erstschlag;
- atomarer Erstschlag; ضُربَت ِ اَوَل ِ اَتُمى
Erststimme (bei Wahl); رأى ِ اَوَل
ersuchen;
- jem. ersuchen, um zu ..; از کِسى تَقاضا کَردَن که، دَرخواست ک.، ـ تَمَنا داشتَن
Ersuchen (n); اِستیضاح، تَقاضا
- auf ausdrückliches Ersuchen (*: Anfrage); طِبق ِ تَقاضاى ِ صَریح
ertappen;
- jem. auf frischer Tat ertappen; دَر موقِع ِ اِرتِکاب کِسى سَر رِِسیدَن
erteilen; عَطا کَردَن، دادَن
- jem. einen Auftrag erteilen; دَستور دادَن
- jem. Vollmacht erteilen; اِختیار دادَن
- jem. das Wort erteilen; به کِسى اِجازهٔ سُخَن دادَن
Ertrag; (pl.) حُصول (حَواصِل)، مَحصول، عَمَل کِرد، نَتیجه (نَتایِج)، کار بُرد
- der Ertrag seiner Arbeit; راندِمان ِ کارِش، نَتیجهٔ ـ
ertragen; چیزى را تاب آوَردَن، طاقَت آ.،  تَحَمُل داشتَن، مُتَحَمِل شُدَن، با کِسى بُردبارى داشتَن
- Hunger ertragen (*: aushalten); گُرُسنِگى را تَحَمُل کَردَن، با نَدارى ساختَن
ertragend; مُحتَمَل، مُتَحَمِل
erträglich;
- der Mensch ist schwer erträglich; این آدَم سَخت قابِل ِ تَحَمُل است، یِک آدَم ِ بَد مُعاشِرَت
ertragreich; حاصِلخیز، پُر بار
- sein Leben ist ertragreich; زِندِگى اَش پُر ثَمَر است، ـ رَیع دار است
ertragsarm; کَم حاصِل
ertränken; .چیزى را دَر خود غَرق کَردَن، سَر ِ کِسى را زیر آب ک
ertrinken; .غَرق شُدَن، مَغروق ش
Ertrinkender; غَریق، مَغروق
- ein Ertrinkender greift nach jedem Strohhalm; شَخص ِ مَغروق به هَر خَس و خاشاک مُتَوَسِل مى شَوَد
ertrunken; مَغروق، غَریق، غَرق شُده
erübrigen;
- können Sie etwas Zeit für jem. erübrigen?; آیا میتَوانید وَقتى بَراى ِ کِسى کِنار بِگُذارید؟
- hier erübrigt s. jedes Wort; هَر حَرف ِ دیگَر بى مورِد است
- das erübrigt s.; این دیگه لازِم نیست، لُزومى نَدارَد
Eruption; بِخارِج ریختَن ِ مَواد ِ مُذاب
Erwachen; بیداری
- Erwachen (auch i.S. Ernüchterung); ایقاظ، تَیَقُظ، بیدارى
erwachsen; بالِغ، رُشد کَرده، بُزُرگسال
Erwachsenenbildung; آموزِش ِ سالمَندان
Erwachsener; بُزُرگسال، سالمَند
erwägen;
- eine Sache erwägen; موضوع را سَنجیدَن، ـ دَر نَظَر داشتَن
erwägenswert; قابِل ِ تأمُل
Erwägung;
- in Erwägung ziehen; دَر نَظَر گِرِفتَن، اَندیشه کَردَن
- Sicherheitserwägungen; مُلاحِظات ِ اَمنیَتى
- politische Erwägungen; مُلاحِظات ِ سیاسى
erwählen; .اِنتِخاب کَردَن، اِختیار ک
Erwählung; بَرگُزینِش، اِنتِخاب
erwähnen;
- wir erwähnen, dass ..; یادآوَر میشَویم که، خاطِر نِشان میسازیم که
- schriftlich erwähnen; کَتباً مُتَذَکِر شُدَن، قَلَمداد کَردَن
- den Namen von jem. erwähnen; نام ِ کِسى را بَر زَبان راندَن، اِسم از کِسی بُردَن
- dabei ist zu erwähnen, dass ...; ناگُفته نَمانَد که
- sie hat an einer Stelle des Buches erwähnt, dass ..; دَر یِک جاى ِ کِتاب نَقل مى کُنَد که
erwähnenswert;
- in erwähnenswerter Anzahl; قَدر ِ اَرزَنى
- nicht erwähnenswert; لاشِىء، نَقلى نَدارَد، دَر خور ِ ذِکر نیست، تَعَریفی نَداشتَن
erwähnt; مَسطور، مَذکور، ذِکر شُده، نام بُرده
- oben erwähnt; فوق اُلذِکر، فوق اُلاِشعار، نام بُرده بالا
- unten erwähnt; مَذکور دَر زیر
Erwähnung; ذِکر، تَذَکُر
- das ist der Erwähnung wert; این قابِل ِ یادآوَرى است، لایِق اُلذِکر است
- bei der Erwähnung seines Namens, ...;  ... سُخَن از او به میان آمَد، اِسم ِ او آمَد
erwärmen; گَرم کَردَن، حَرارَت دادَن
- jem. für eine Sache erwärmen; .کِسى را بَراى ِ چیزى گَرم ساختَن، ـ تیز س
- s. für jem. erwärmen; سَرگَرم ِ کِسى شُدَن
- durch seine Gegenwart erwärmt er ..; با حُضورش مُحیطَش را گَرم و فُروزَن می کُنَد
Erwärmung; گَرمایِش
- Erderwärmung; گَرمایِش ِ زَمین
erwarten; مُنتَظِر بودَن، اِنتِظار داشتَن، تَوَقُع د.، چَشم داشت کَردَن
- jem. erwarten (*: warten); چِشم دَر راه ِ کِسى داشتَن
- erwarten, dass ..; دَر تَرَصُد بودَن که
- das sollte man von dir erwarten; این بَرازَندهٔ توست
- von da können wir kein Geld erwarten; از اینجا چیزى عایِد ِ ما نِمیشَوَد، چِشم داشت از آنجا نَداریم که پول بِگیریم
- von dem kann man was erwarten (oder nicht);  (آبی  از او  گرم می شَوَد (یا نمی شَوَد
- den Tag erwarten; اِنتِظار ِ روزى را کِشیدَن
- ich konnte es kaum erwarten, zu wissen ...; بى تابَم که بِدانم
- den Tag nicht erwarten können; بَراى ِ این روز دِل تو دِلِشان نیست
- über Erwarten dauern; بیش اَز حَد ِ اِنتِظار به دِرازا کِشیدَن
- es wird erwartet; اِنتِظار میرَوَد که، به خیال ِ اینکه، به اُمید ِ اینکه
- das habe ich von dir erwartet; .این کاررا از تو اِنتِظار داشتَم، ـ  تَوَقعُ د
- dass dadurch kein Dank erwartet wird; که تَوَقُع ِ تَشَکُر دَر بِین نَباشَد
- erwarteter Profit; فَوائِد ِ مُتَرَقِب، ـ مُتَرَقِبه
- erwartete Einkünfte; عایِد ِ مَنظوره
- nicht das sein, was man erwartet hat; یِک چیزی را دَر آسِمان جَستَن روی ِ زَمین پِیدا کَردَن
Erwartung; چِشم داشت، اِنتِظار، تَوَقع، چِشم بِراه
- hoffnungsvolle Erwartung; تَرَصُد
- jem. in Erwartung versetzen; کِسى را چِشم بِراه گُذاشتَن
- ich habe keine Erwartung an Sie; مَن چِشم داشت به کار ِ شُما نَدارَم
- er lebt in ständiger (nicht erfüllter) Erwartung; آرِزو به دِلِش می مانَد
- ich bin in Erwartung eines guten Essens; شِکَمَم را صابون میزَنَم
- wir sind in Erwartungshaltung; ما دَر حالَت ِ اِنتِظار بِسَر مى بَریم
erwecken;
- es erweckt den Anschein, dass ..; چِنین مینَمایَد که، اِحتِمال دارَد که، اینطور به نَظَر میرِسَد که
Erweckungsbewegung; نِهضَت ِ ایقاظ ِ روح ِ مَردُم، جُنبِش ِ بیدارى ِ روحانى
erwehren;
- s. einer Person erwehren;  .خودرا از دَست ِ کِسى خَلاص کَردَن، دَر مُقابِل ِ کِسى از خود دِفاع ک
erweichen;
- s. erweichen lassen; تَن دَر دادَن، خودرا تَحت ِ تأثیر ِ کِسى قَرار دادَن
- das Herz von jem. erweichen;  .دِل ِ کِسى را نَرم کَردَن، ـ مُلایِم ک.، ـ به رِقَت آوَردَن، ـ مُلتِف ک
- so viel er auch redete, er liess s. nicht erweichen; او هَر چه صُحبَت میکرَد یَخِش نِمى گرفت
Erweichung;
- Knochenerweichung; اِستِرخاء عَظَم، ضَعَف ِ اُستُخوان
Erweis; بَذل
- Erweis der Ehre; بَذل ِ اِحتِرام
erweisen;
- jem. die letzte Ehre erweisen; آخَرین اِحتِرام را دَر بَرابَر ِ کِسى بِجاى آوَردَن، ـ قائِل بودَن
- einer Sache Beachtung erweisen; از نَظَر ِ چیزى دِقَت مَبذول داشتَن، با بَذل ِ تَوَجُه به
- s. als möglich erweisen; مُمکِن تَشخیص داده شُدَن
- s. als nützlich erweisen; مُفید واقِع شُدَن، ـ دَر آمَدَن، ـ نِشان دادَن
- die nötige Aufmerksamkeit erweisen; دَر این مورِد تَوَجُه ِ لازِم را مَبذول داشتَن
- ausreichende Aufmerksamkeit erwiesen wird; تَوَجُه ِ کافى مَبذول مى شَوَد، ـ قائِل مى شَوَد
erweitern;  .باز کَردَن، گُشاد ک.، مُنبَسِط ک.، وَسیع ک.، پَهن ک
- Beziehungen zu ... erweitern; اِرتِباط ِ... را بَسط دادَن
- erweitertes Kommitte; کمیتهٔ مُنبَسِط
- im erweiterten Sinne; با توسِعهٔ مَعَنى
- die Strasse wird erweitert; جاده تَعریض مى شَوَد
- das Wissen erweitert s.; دانِش با حُدود و حَواشى پیش مى رَوَد
Erweiterung; اِنبِساط، تَعریض
- Erweiterung des Gebietes; توسعه اَراضى، گُستَرِش ِ سَر زَمین، تَعریض ِ مَزرَعِه
- Erweiterung der Pupille; اِتِساع ِ مَردُمَک ِ چِشم
- zur Erweiterung seines Wissens; جَهَت ِ اِزدیاد ِ مَعلومات ِ خود
Erwerb; دَست یابى، کَسب، اِکتِساب، حُصول
- Erwerb des Doktorgrades; اَخذ ِ دَرَجهٔ دُکتُرى
- Erwerb von Vermögen; تَحصیل ِ ثِروَت، کَسب ِ ـ
- seinem Erwerb nachgehen; دُنبال ِ کَسب و کار ِ خود رَفتَن
- rechtmässiger Erwerb; کَسب ِ حَلال، ـ قانونى
erwerben;  .کَسب کَردَن، اِکتِساب ک.، حاصِل ک.، تَحصیل ک
- einen akademischen Grad erwerben; دَرَجهٔ عِلمى را اَخذ کَردَن، ـ تَحصیل ک
- s. die besten Kenntnisse erwerben; بِهتَرین تَعلیمات را فَرا گِرِفتَن
- Sklaven erwerben; بَرده خَریدارى کَردَن
erwerbslos; بیکار، بى کَسب و کار
erwerbstätig; کاسِب، شاغِل
erwerbsunfähig; از کار اُفتاده، زَمین گیر و خانه نِشین
erwidern; رَد ِ جَواب کَردَن، جَواب گو بودَن
- einen Besuch erwidern; بازدید کَردَن، جَواب ِ دیداررا دادَن
Erwiderung;
- in Erwiderung Ihres Schreibens; دَر پاسُخ ِ نامهٔ شُما
erwiesen;  .ثابِت شُده، عَیان ش
erwiesenermassen; از قَرار ِ مَعلوم، چُنانکه مُسَلَم است
erwischen;
- einer, den es erwischt hat, Pechvogel; مَرد ِ تیره روز
- jem., den es immer erwischt; آدَم ِ مارک دار
- er erwischt mich bei einem Fehler; خَطائى اَز مَن سَر مى زَنَد
- wie oft hat man dich erwischt? (z.B. beim Diebstahl); چَند بار گیر اُفتادى؟
- wenn ich dich erwische!; تورا اَگَر به چَنگ بیاوَرَم!، صَبر کُن تا بِهِت نِشان مى دَهَم
- die Liebe hat jem. erwischt; آتَش ِ عِشق دامَن ِ کِسى را گِرِفت
erworben; اِکتِسابى
- erworbene & angeborene Eigenschaften; صِفات ِ کَسبى و فِطرى، -  اِکتِسابى و لَدُنى
erwünscht; مورِد ِ آرِزو، خاطِرخواه، دِل پَسَند
- erwünscht sein; مَطلوب بودَن
erwürgen; گَلوى ِ کِسى را گِرِفتَن، کِسى را اِختِناق کَردَن
Erwürgen (n); اِختِناق، گَلوگیری
Erz; سَنگ ِ مَعدَن
erzählen; رِوایَت کَردَن، حِکایَت ک.، نَقل ک.، قِصه گُفتَن
- wir haben uns viel zu erzählen; کُلى ِ حَرف بَراى ِ گُفتَن داریم
- jem. gegenüber etwas wichtiges erzählen; پیش ِ کِسى لَب به سُخَن گُشودَن
- erzählen Sie etwas über ...; را شَرح بِدَهید...
- Erzähl mal!; بِگو بِبینَم
- Lass mich die ganze Geschichte erzählen; بِگُذار قال ِ قَضیه را بِکُنَم
