Saal (m); سالُن
- Streich spielen; تَدَلُل کَردَن، به کِسى حيله زَدَن
streicheln; نَوازِش کَردَن، دَست به سَر و روى ِ کِسى کِشيدَن
- sie streichelte ihn; او را نَوازَش کَرد
streichen;
- streichen, ausstreichen; نام ِ کِسي را حَذف کَردَن، ـ خَط زَدَن
- streichen (mit Farbe); رَنگ زَدَن
- frisch gestrichen; تازه رَنگ زَده#�

- streichen (mit der Hand); دَستمالى کَردَن
Streichholz; کِبريت
Streichung; حَذف
Streife; کَشيکچى
- Polizeistreife; پُليس گَشت
streifen; به چيزى زُل زَدَن
- er streift mich mit seinem Auto; با ماشينَش به مَن مي خورَد
Streifen (m); خَط
Streifenwagen; ماشين ِ گَشت
streifig; خَطخَطى
Streifzug (durch die Literatur); گُذَرى بَر اَدَبيات
Streik; اِعتِصاب
Streikausbruch; آغاز ِ اِعتِصاب
streiken; اِعتِصاب کَردَن
Streit; مُرافِعِه، دَعوا، اِختِلاف، مُشاجِره، جَر و بَحث، مُناقِشه، مُنازِعه، نِزاع
- Streit verursachen; جَنگولَک بازى دَر آوَردَن
- wir hatten einen Streit; مَن و او حَرفِمان شُد
- der Streit geht hin und her; حَرفهاي ِ ايشان به بِگو مَگو کِشيد
- suchst du Streit?; کَل کَل می کُنی
streitbar; با پَرخاش، مُناقَشه اَنگيز
streiten;
- wegen etwas streiten; دَر مورِد ِ چيزى قيل و قال کَردَن
- s. mit jem. (heftig) streiten; با کِسى گِلاويز شُدَن، با هَم يِکي به دو کَردَن، به تيپ ِ هَم زَدَن
- es gibt nichts zu streiten; دَعَوا نَدارَد
- ob s. jem. mit ... streitet?; آيا کِسي با ... يِک به دو مي کُنَد؟
- streiten, s. auseinandersetzen; حِرص و جوش خوردَن، سَر و کَله زَدَن
Streitender; (pl.)  (مُشاجِر، سِتيزَنده (سِتيزَندِگان
Streitfall; دَعَوا
- einen Streitfall schlichten;  .دَر يِک دَعَوا داوَرى کَردَن، ـ وَساطَت ک
Streitgespräch; مُناظِره، بِگو مَگو، جَر و بَحث، مُشاجِره
streitig;
- jem. etwas streitig machen; حَق ِ کِسي ديگررا سَلب کَردَن
Streitkraft; نيروي ِ نِظامي
- Streitkräfte; (zu Land, Luft & Wasser)  (نيروهاى ( ِ زَمينى، هَوائى و دَريائى
- er mobilisiert seine Streitkräfte gegen ihn; او لَشکَر ِ خودرا بَراى ِ حَمله به او بَسيج مى کُنَد
Streitobjekt; مُنازِع فيه، مُدَعا
streitsüchtig; پَرخاش جو، جَنگجو
- streitsüchtige Frau; سَليطه
- streitsüchtige Gesinnung; روح ِ پَرخاشگَر
streng;
- sie sind .. gegenüber streng; آنها نِسبَت به .. سَخت گير هَستَند
Strenge; تَشَدُد
- Strenge walten lassen; سَخت گيرى کَردَن
strengstens;
- Das Betreten ist strengstens verboten; وُرود اَکيداً مَمنوع است
Streu; پوشال
Streubereich; ناحية اِنحِراف، حوزة تَغييرات
streuen; (präs.)  (پاشيدَن، بيختََن (مى بيزَد
- zerstreuen; اَفشاندَن
- Salzstreuer; نَمَک پاش
streunen; بى هَدَف گَشتَن، پَرسه زَدَن، وِلگَردى کَردَن
- streunender Hund; سَگ ِ وِل گَرد
- streunende Kinder; بَچه هاى گُريز پا
Streustrahlung; تَشَعشُع ِ پَراکَنده
Strich; خَط
- wie ein Strich in der Landschaft; يِک آدَم مِثل ِ چوب ِ کِبريتى
- jem. nach Strich & Faden beschimpfen; کِسى را حِسابى دَم ِ فُحش گِرِفتَن
stricheln; خط چين کَردَن، نُقطه گُذارى ک.، خَط خَط کِشيدَن
Strichmarke; خَط نِشانه، ـ اَندازه
Strichraster; تَرام ِ خَطى
Strick; طَناب
- jem. einen Strick drehen; زِه ِ کِسى را کِشيدَن
stricken; بافتَن
- 2 links, 2 rechts stricken; دو رو دو زير بافتَن
Strickjacke; ژاکَت ِ دَست باف
Stricknadel; سَنجاق
Striegel; قَشو
striegeln; خَر خَره کَردَن، قَشو کِشيدَن
srikt;
- strikte Anweisung; دَستور ِ مُؤَکَد
- strikte Neutralität; بىطَرَف ِ کامِل
- strikter Befehl; دَستور ِ اَکيد
strittig; مُتَنازِع
- strittige Frage; مَسئلة مورِد ِ اِختِلاف
- mit dem Bezahlen des strittigen Preises; با پَرداخت ِ مابهِ اُلتَفاوُت ِ قِيمَت
Stroh; کاه
- aus Stroh; حَصيرى
- leeres Stroh dreschen; مُهمَل گُفتَن، ياوه گ.، مُهمَلَت بافتَن
- Mischung aus Lehm und Stroh; کاه ِ گِل
Strohfeuer; پُفَکی، سُست نَهاد، کَم مُقاوَمَت، پوشالی
- Strohfeuer der Liebe; عِشق هاي ِ پوشالي
strohgedeckt (Dach); بام) پوشالی است )
Strohhalm; پَر ِ کاه
- Strohhalm (zum Trinken); نِى نوش
Strohhut; کُلاه ِ حَصيرى
Strolch; وِلگَرد
Strom; بَرق
- Strom, Fluss; رود خانه
- Gleichstrom; جَريان ِ مُتَوالى
- Kriechstrom; بَرق ِ پَراکَنده، ـ مُنشَعِب شُده
- Wechselstrom; جَريان ِ مُتَناوِب
- Segensstrom (relig.); بارِش ِ بَرَکَت
Stromausfall; قُدرَت شِکَست
strömen; رَوان شُدَن، جاري بودَن
- die Menschen strömen; مَردُم هُجوم م بى آوَرَند
stromern; پَرسه زَدَن
Stromfluss;
- elektrischer Stromfluss; سَيالة بَرقيه، جَريان ِ بَرق
Stromkreis; مَدار ِ بَرق
Stromschlag; بَرق گِرِفتِگي
Stromstärke; شِدَت ِ بَرق
Strömung; جَريان
- Meeresströmungen; لايه هاى ِ جَريانهاى ِ آب دَر دَريا
Stromversorgungsnetz; شَبَکة بَرق رِسانى
Stromzähler; کُنتور ِ بَرق
Strophe; بَند ِ شِعِر، بِيت
Strudel; گِرد آب
Struktur; ساختار
- im Aufbau industrieller Strukturen; توليد دَر راستاى ِ صَنعَتى شُدَن ِ
- Struktur - und Funktionsforschung; بَررِسى ساختِمان و عَمَل ِ هَسته
- Ministerialstruktur; ساختار ِ وِزارَتى
- Netzstruktur langer und feiner Fasern; شَبَکة رِشته هاى ِ طَويل و باريک
strukturell; ساختارى
- strukturelle Planung; بَرنامه ريزى ِ ساختارى
Strukturwandel; تَحَوُل ِ ساختار
Strumpf; جوراب
struppig;
- struppige Haare; موهاى ِ ژوليده
Stüber; ضَربه
Stück; تا
- Stück für Stück; دانه دانه
- in Stücke gehen; تِکه تِکه شُدَن
- Stückchen Papier; تِکة کاغَذ
- ein Stückchen Land; تِکه زَمين
Stuckarbeit; گَچبُرى، گَچ کارى
Stuckdecke; سَقف ِ گَچ بُرى
stückweise; تِکه تِکه
- stückweise kaufen; کُتره اى خَريدَن
Stückzahl; تا
Student; (pl.) دانِشجو، مُحَصِل (مُحَصِلين)، طالِب (طَلاب)، دانِش آموز
Studentenunruhen; ناآرامى ِ دانِشجويان، اِغتِشاشات ِ ـ
Studie; مُطالِعه، تَحقيقات
- Feldstudie; رِساله دَر تَحقيقات ِ مَحَل
Studienfach; رِشتة تَحصيلى
Studiengebühr; شَهرية دانِشجوئى
studieren; تَحصيل کَردَن
Studierender; دانِش آموز
Studierter; دانِشگاه ديده، تَحصيل کَرده
Studio; اِستوديو
- Photostudio; اِستوديو ِ عَکاسى
Studium; تَحصيل
- Bibelstudium; مُطالِعة کِتاب ِ مُقَدَس
Stufe; پِله
- 2 Stufen auf einmal; دو پِله يِکى کَردَن، پِله هارا دو تا يِکى کَردَن
- s. mit jem. auf die gleiche Stufe stellen; خودرا به پاي ِ کِسي رِساندَن
stufenlos;
- stufenloses Getriebe; گير بُکس ِ بى پِله
stufenweise; تَدريجى، قَدَم بِقَدَم، بِصورَت ِ پله اى
- stufenweise Entlassung; اِخراج ِ پِياپِى
Stuhl; صَندَلى
- zwischen 2 Stühlen sitzen; با يِک دَست نِمى تَوان دو هِندِوانه گِرِفت
- Richterstuhl; مَسنَد ِ قِصاوَت
Stuhlbein; پاية صَندَلى
Stuhlgang; تَغَوُط، مَدفوع
Stukkateur; گَچ بُر
stumm; صامِت، کَف بَر لَب، گُنگ، لال
- stumm wie ein Fisch; لام تا کام چيزى نَگُفتَن
- taubstumm; گُنگ و کَر
stümperhaft; پيش ِ پا اُفتاده، اِبتِدائي
stumpf; کُند
- diese Arbeit macht das Gefühl stumpf; اين کار اِحساس را کِرَخت مى کُنَد
- stumpfer Winkel; زاوية مُنفَرِجه، مُنفَرِج اُلزاويه
- Baumstumpf; تَه ِ شاخه
Stumpfsinn; حِماقَت
stumpfsinnig; کُند ذِهن
stumpfwinkelig; مُنفَرِج اُلزاويه
Stunde; ساعَت
- seine Stunde hat geschlagen; آجَل اش سَر رِسيده است
- vierstündig; چَهار ساعَته
stunden; مُهلَت دادَن
- gestundet; مُهلَت داده؛ مُؤجَل#�

Stundenleistung; خُروجى دَر ساعَت
Stundenplan; جَدوَل ِ ساعات
Stundung; مُهلَت، آجَل
stur; کَله شَق، خود سَر، لَجاز، بَد قِلِق، بَدپيله، سَمِج
Sturheit; بَد قِلِقي، ِکدَندِگي
Sturm; طوفان
- Sturm (auf See); کولاک
- im Sturm & Drang der Jugend; دَر جوش و خُروش ِ جَوانى
- Jahre des Sturms & Drangs; سَنَوات ِ طوفان و طُغيان
- Sturm (beim Sport); خَط ِ حَمله
- Sturmspitze (Fußball); سافبَر
Stürmer; مُهاجِم، پيش رو
stürmisch;
- stürmisch (z.B. das Gefühl); شور اَنگيز
- das Meer wird stürmisch; دَريا طوفانى مى شَوَد
- stürmische See; دَرياى ِ مُتَلاطِم
Sturz; سَرنِگون، سُقوط
- Sturz der Regierung; سُقوط ِ دولت
stürzen; بَر اَنداختَن، سُقوط کَردَن، اُفتادَن
- sie stürzen s. auf das Essen; آنها سَر گَرم ِ خوردَن مى شَوَند
- wir stürzten uns in den Graben; (infin.) ما چَپيديم (چَپيدَن) توی سَنگَر
- durch ein Misstrauensvotum stürzen; با رأى ِ عَدَم ِ اِعتِماد بَر اَنداختَن
- wie ein Tier s. auf etwas stürzen; با سَبُعيَت چيزى را کَردَن
- auf jem. losstürzen; به سوى ِ کِسى حَمله کَردَن، بَر سَر ِ کِسى ريختَن
Stütze; پُشتِوانه، تِکيه گاه
- Stütze (z.B. für Blumen); چُفت
stutzen;
- er stutzt (*: überraschen); او تَعَجُب کَرد
- die Flügel stutzen; پَر و بال را قِيچى کَردَن
- jem. stutzen (in seinem Einfluss); باروت ِ کِسي نَم کِشيدَن
- jem. zurechtstutzen; کِسى را تا حَد ِ شِش دَر چَهار کوچِک کَردَن
stützen;
- s. auf etwas stützen; به چيزى مُتَمَسِک شُدَن، ـ اِتِکاء کَردَن، ـ تِکيه دادَن
- die s. stützen auf ..; که مُتَمَسِک به .. هَستَند
Stützholz; چوب ِ حاىِل گوشه
Stützpfeiler; سُتون ِ نِگَهدارَنده
Stützpunkt; پايگاه
- Marinestützpunkt; پايگاه ِ دَريائى
stylen; آرايِش کَردَن
- deine Haare sind gestylt; موهات مُدِل دار شُده
Subjekt; (mosnad-on-elejh) فاعِل، مُسنَد اليه
subjektiv; ذِهنى، شَخصى، فاعِلى
- subjektive Erfahrungen; تَجارُب ِ خودبُنياد
Subjugation; اِنقياد
Substantiv; اِسم
Substanz; ماده
substanzarm; کَم مايع
substanzlos; پُفَکی، پوشالی
substantiell; عَرِضى
substituieren;  .جُبران کَردَن، جانِشين ک
subtil; لَطيف، رَقيق، ظَريف
subtrahieren; دَر کَردَن، تَفريق ک.، کاستَن
Substraktion; تَفريق، کاهِش
Subvention; کُمَک ِ بِلاعَوَض، کُمَک ِ کالى، سوبسيد، يارانه
subventionieren; سوبسيد دادَن
- staatlich subventioniert; با سوبسيد ِ دولَتى
Subventionierung; اَعطاى ِ کُمَک ِ بِلاعَوَض، اَعطاى ِ سوبسيد
Subventionspolitik; سياسَت ِ سوبسيد دَهى
Subversion; بَر اَندازى، عَمَليات ِ سَر نِگون سازى
subversiv; بَر اَندازَنده، سَر نِگون ساز
Suchantenne; آنتِن ِ رَدياب
Suche; جُستِجو، پويا
- er machte s. auf die Suche nach; به سُراغ ِ کِسى آمَد
- die Suche nach Wahrheit; دَر تَحَرى ِ حَقيقَت، دَر جُستِجوى ِ ـ
suchen;
- nach jem. suchen; دُنبال ِ کِسى گَشتَن، دَر جُستِجوى ِ ـ، پوياى ِ کِسى بودَن
- suche nicht nach einem Grund; دَر پِى ِ دَليل نَباش
- sie suchen eine Gelegenheit; آنها مُتَرَصِد هَستَند، آنها دَر صَدَد ِ فُرصَت مى شَوَند
- ich fand, was ich suchte; آنچه دَر طَلَبِش بودَم به کَف آوَردَم
- jem. aufsuchen; به سُراغ ِ کِسى رَفتَن
- suchend ging ich durch die Menge; کورمال از لاى ِ مَردُم گُذَشتَم
Suchmaschine (comp.); جُستِجوگَر
Sucht; اِعتياد
süchtig; مُعتاد
Süchtiger; مُعتاد
- Rehabilitierung von Süchtigen; باز پَروَرى ِ مُعتادين
Süddeutschland; آلمان ِ جِنوبى
Süden; جِنوب
südlich; جِنوبى
Suezkanal; کانال ِ سوئز
Sufismus; تَوَصُف
suggerieren;  .اِلقاء کَردَن، تَلقين ک
Suggestion; تَلقين
- Autosuggestion; تَلقين بِنَفس
- suggestive Frage; سؤال ِ اِلقائى، ـ مُلقىٰ
Sühne; کَفاره، صُلح
Suite; حَشَم
Suizid; خود کُشى
sukzessiv; تَدريجى، پِى دَر پِى
Sulfat; سولفات
- Kupfersulfat; سولفات ِ مِس
Summe; مَجموع، مِقدار
- Bezahlung dieser Summe; پَرداخت ِ اين وَجه، ـ مَبلَغ
summen; زَمزَمه کَردَن
- Melodie summen; آواز زَمزَمه کَردَن
- Summen der Bienen; وِز وِز ِ زَنبور
- das Summen von .. hören; وِز وِز ِ کِسى را شِنيدَن
Summer; زَنگ
Sumpf; خَلاب، لَجَن، مُردآب
Sumpfdotterblume; خَرغوس
Sumpfgebiet; لَجَن زار
Sünde; مَعَصيَت، گُناه، خَطا
Sünder; گُناه کار، مَعَصيَت کار
sündhaft; گُناه آلود
- sündhafter Mensch; آدَم ِ خاطى و عاصى، اِنسان ِ گُناه آلود
sündig; گُنها آلود، مَعَصيَت بار
sündigen; مُرتَکِب ِ گُناه شُدَن، گُناه کَردَن
Sunnit; سُنى
super; عالي
- das ist super; عالي است
Superlativ; تَفضيل ِ مُطَلق
Supermacht; اَبر ِ قُدرَت
Supermarkt; سوپِرمارکت
Suppe; آب گوشت
- Suppe pusten; آش فوت کَردَن
